Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Kur; Usd tutar ;Ücret
Bekkiler;31.12.2022;WM62022123100655;Her yöne 1000 dakika - 24,90 TL/Ay-2662460518 (Aralık 2022)(GSM:40% SA:24% SI:28% DO:7% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.12.2022;WM62022123100655;Her yöne 1000 dakika - 24,90 TL/Ay-2662462752 (Aralık 2022)(GSM:31% SA:12% SI:49% DO:8% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.12.2022;WM62022123100655;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,81
Bekkiler;31.12.2022;WM62022123100655;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,56
Beksan;31.12.2022;C012022002484331;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺718,50
Beksan;02.01.2023;BTE2023000000031;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Beksan;02.01.2023;ANE2023000000009;DisplayPort Erkek-Erkek 1.5mt;DONANIM G.;ANTENCİ ELEKTRONİK ;1,00;;;₺80,00
Bekkiler;02.01.2023;BTE2023000000039;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Beksan;04.01.2023;AAA2023000000001;CANON 057H MUADİL TONER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺712,28
Beksan;04.01.2023;AAA2023000000001;Hp ce505x Muadil Toner 6400 Sayfa    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺487,35
Beksan;04.01.2023;AAA2023000000001;YAZICI TAMİRİ (GEAR DİŞLİ GURUBU)   ;YAZICI G.;OFİS BÜRO MAKİNALARI;4,00;;;₺861,00
Beksan;04.01.2023;AAA2023000000001;KDV(%18);YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺370,91
Beksan;12.01.2023;AAA2023000000017;Hp ce505x Muadil Toner 6400 Sayfa    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺288,27
Beksan;19.01.2023;YFR2023000000038; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;6,61;;;₺21.449,45
Bekkiler;19.01.2023;YFR2023000000045; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;3,35;;;₺9.882,50
Bekkiler;24.01.2023;BIL2023000000021;A120 TELSİZ TELEFON;DONANIM G.;BİLSAM BÜRO MAKİNELERİ;2,00;;;₺1.463,20
Beksan;30.01.2023;AAA2023000000034;A0XXPP6H01 Transfer Roller Assy  ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺1.965,78
Beksan;30.01.2023;AAA2023000000034;DEVELOP TN118 TONER  ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺1.924,83
Beksan;30.01.2023;AAA2023000000034;Hp ce505x Muadil Toner 6400 Sayfa    ;YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺244,65
Beksan;30.01.2023;AAA2023000000034;KDV(%18);YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺744,35
Beksan;31.01.2023;YFR2023000000147;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.596,00
Beksan;31.01.2023;01S2023000014923;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;31.01.2023;01S2023000014923;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;31.01.2023;01S2023000014923;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;31.01.2023;01S2023000014923;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;31.01.2023;01S2023000014923;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;31.01.2023;01S2023000014923;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;31.01.2023;01S2023000014923;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;31.01.2023;A162023000469314;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺164,75
Beksan;31.01.2023;A162023000088243;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺335,00
Bekkiler;31.01.2023;YFR2023000000126; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.360,00
Bekkiler;31.01.2023;01S2023000110584;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;31.01.2023;01S2023000110584;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;31.01.2023;01S2023000110584;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;31.01.2023;01S2023000110584;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;31.01.2023;01S2023000110584;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;31.01.2023;01S2023000110584;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;31.01.2023;01S2023000110584;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;31.01.2023;01S2023000110584;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;31.01.2023;01S2023000110584;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;31.01.2023;A162023000349958;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺289,75
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662462750 (Ocak 2023)(GSM:20% SA:14% SI:53% TN:1% TO:6% DO:6% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662461426 (Ocak 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662460518 (Ocak 2023)(GSM:27% SA:12% SI:54% DO:7% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662460409 (Ocak 2023)(GSM:14% SA:17% SI:56% TN:3% DO:9% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;(Kobi) 35 Mbps e kadar - 2662465109 (Şubat 2023);SABIT HAT;TURKNET;1,00;;;₺132,73
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 10 TL/Ay-2662465109 (Ocak 2023);SABIT HAT;TURKNET;1,00;;;₺7,81
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662463513 (Ocak 2023)(GSM:18% SA:14% SI:53% TN:1% TO:1% DO:13% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662462751 (Ocak 2023)(GSM:18% SA:10% SI:55% TN:1% TO:10% DO:7% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662462752 (Ocak 2023)(GSM:23% SA:15% SI:60% TO:1% DO:2% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662465108 (Ocak 2023)(GSM:16% SA:21% SI:55% DO:9% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;Her yöne 1000 dakika - 24,90 TL/Ay-2662462755 (Ocak 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.01.2023;XB62023013102143;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,81
Bekkiler;31.01.2023;XB62023013102143;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,56
Beksan;31.01.2023;C012023000193869;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺718,50
Beksan;01.02.2023;BTE2023000000424;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;01.02.2023;BTE2023000000432;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;01.02.2023;AAA2023000000036;CANON 057H MUADİL TONER   ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺888,38
Bekkiler;13.02.2023;AAA2023000000054;CANON 057H MUADİL TONER;YAZICI G.;OFİS BÜRO MAKİNALARI;5,00;;;₺2.112,54
Beksan;20.02.2023;YFR2023000000180;PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;5,73;;;₺18.593,85
Bekkiler;20.02.2023;YFR2023000000187; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;2,44;;;₺7.198,00
Beksan;28.02.2023;YFR2023000000299;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.596,00
Beksan;28.02.2023;01S2023000137504;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;28.02.2023;01S2023000137504;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;28.02.2023;01S2023000137504;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;28.02.2023;01S2023000137504;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;28.02.2023;01S2023000137504;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;28.02.2023;01S2023000137504;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;28.02.2023;01S2023000137504;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;28.02.2023;A162023001031123;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺334,75
Beksan;28.02.2023;A162023000784345;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺164,75
Bekkiler;28.02.2023;YFR2023000000278; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.360,00
Bekkiler;28.02.2023;01S2023000153519;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;28.02.2023;01S2023000153519;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;28.02.2023;01S2023000153519;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;28.02.2023;01S2023000153519;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;28.02.2023;01S2023000153519;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;28.02.2023;01S2023000153519;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;28.02.2023;01S2023000153519;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;28.02.2023;01S2023000153519;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;28.02.2023;01S2023000153519;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;28.02.2023;A162023000859235;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺290,00
Bekkiler;28.02.2023;XC32023022802398;İŞ MAX 35 - Taahhütsüz - 2662465109 (Mart 2023);SABIT HAT;TURKNET;1,00;;;₺132,73
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662462751 (Şubat 2023)(GSM:21% SA:28% SI:36% DO:16% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 10 TL/Ay-2662465109 (Şubat 2023);SABIT HAT;TURKNET;1,00;;;₺7,81
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662465108 (Şubat 2023)(GSM:29% SA:11% SI:54% TN:3% DO:3% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662462750 (Şubat 2023)(GSM:29% SA:22% SI:38% TN:4% DO:8% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662462755 (Şubat 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662460518 (Şubat 2023)(GSM:24% SA:24% SI:41% DO:10% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662463513 (Şubat 2023)(GSM:32% SA:11% SI:50% TO:2% DO:6% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662461426 (Şubat 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662460409 (Şubat 2023)(GSM:26% SA:12% SI:56% TN:1% TO:2% DO:2% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;Her yöne 1000 dakika - 24,90 TL/Ay-2662462752 (Şubat 2023)(GSM:26% SA:23% SI:44% DO:7% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;28.02.2023;XC32023022802398;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,81
Bekkiler;28.02.2023;XC32023022802398;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,56
Beksan;28.02.2023;C012023000406464;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺718,25
Beksan;01.03.2023;BTE2023000000728;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;01.03.2023;BTE2023000000736;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;03.03.2023;AAA2023000000072;CANON 057H MUADİL TONER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;3,00;;;₺1.271,28
Bekkiler;09.03.2023;Raart01;İlan, reklam ve tanıtım;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;;;₺19.032,93
Beksan;17.03.2023;YFR2023000000314;PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;8,60;;;₺27.907,00
Bekkiler;17.03.2023;YFR2023000000321; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;3,78;;;₺11.151,00
Beksan;30.03.2023;YFR2023000000441;AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.596,00
Bekkiler;30.03.2023;YFR2023000000420; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.360,00
Beksan;31.03.2023;01S2023000318216;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;31.03.2023;01S2023000318216;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;31.03.2023;01S2023000318216;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;31.03.2023;01S2023000318216;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;31.03.2023;01S2023000318216;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;31.03.2023;01S2023000318216;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;31.03.2023;01S2023000318216;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;31.03.2023;A162023001322743;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺335,00
Beksan;31.03.2023;A162023001304354;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺477,50
Bekkiler;31.03.2023;A162023001084125;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺289,75
Bekkiler;31.03.2023;XD62023033101117;İŞ MAX 35 - Taahhütsüz - 2662465109 (Nisan 2023);SABIT HAT;TURKNET;1,00;;;₺132,73
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662463513 (Mart 2023)(GSM:21% SA:6% SI:67% DO:6% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662462750 (Mart 2023)(GSM:37% SA:12% SI:34% TO:4% DO:13% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662460518 (Mart 2023)(GSM:23% SA:7% SI:59% TO:4% DO:6% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662462752 (Mart 2023)(GSM:37% SA:8% SI:39% TO:8% DO:8% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662462751 (Mart 2023)(GSM:28% SA:16% SI:30% TO:4% DO:22% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662460409 (Mart 2023)(GSM:16% SA:12% SI:47% TO:9% DO:16% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662461426 (Mart 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 10 TL/Ay-2662465109 (Mart 2023);SABIT HAT;TURKNET;1,00;;;₺7,81
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662462755 (Mart 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;Her yöne 1000 dakika - 24,90 TL/Ay-2662465108 (Mart 2023)(GSM:28% SA:14% SI:49% TO:6% DO:4% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;31.03.2023;XD62023033101117;KDV(%18);SABIT HAT;TURKNET;1,00;;;₺56,81
Bekkiler;31.03.2023;XD62023033101117;OIV(%10);SABIT HAT;TURKNET;1,00;;;₺31,56
Beksan;31.03.2023;C012023000618824;TELEFON;SABIT HAT;TURKTELEKOM;1,00;;;₺718,50
Beksan;03.04.2023;BTE2023000001132;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;03.04.2023;BTE2023000001140;SISTEM DESTEK HIZMET BEDELI;SİSTEM DESTEK G.;BTE BİLGİSAYAR YAZ. DON.;1,00;;;₺826,00
Bekkiler;03.04.2023;Raart02;İlan, reklam ve tanıtım;GÖRSEL TANITIM G.;RAART GÖRSEL SAN. REK.;1,00;;;₺19.197,22
Beksan;20.04.2023;YFR2023000000470; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;7,70;;;₺24.986,50
Bekkiler;20.04.2023;YFR2023000000477; PROJE VE DANIŞMANLIK HİZMETİ;EFLOW DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,20;;;₺3.540,00
Bekkiler;24.04.2023;AAA2023000000124;CANON 057H MUADİL TONER  ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺737,79
Bekkiler;24.04.2023;AAA2023000000124;Hp ce505x Muadil Toner 6400 Sayfa  ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺543,63
Bekkiler;24.04.2023;AAA2023000000124;Hp ce285a Muadil Toner 1600 Sayfa    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺328,51
Bekkiler;24.04.2023;AAA2023000000124;KDV (% 18,00 );YAZICI G.;OFİS BÜRO MAKİNALARI;1,00;;;₺289,79
Beksan;27.04.2023;AAA2023000000131;CANON 057H MUADİL TONER    ;YAZICI G.;OFİS BÜRO MAKİNALARI;2,00;;;₺871,60
Beksan;29.04.2023;YFR2023000000590; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.596,00
Bekkiler;29.04.2023;YFR2023000000570; AYLIK TELEFON DESTEK HİZMETİ;NETSİS DESTEK G.;BTENET YAZILIM VE PROJE HİZ.;1,00;;;₺2.360,00
Beksan;30.04.2023;01S2023000415951;MPLSVPN Hizmetleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺868,80
Beksan;30.04.2023;01S2023000415951;Data Servisleri;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.198,76
Beksan;30.04.2023;01S2023000415951;Ofis Güvenlik Duvarı;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Beksan;30.04.2023;01S2023000415951;UZAKTAN YEDEKLEME ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺872,46
Beksan;30.04.2023;01S2023000415951;SANAL VERİ MERKEZİ;İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.321,76
Beksan;30.04.2023;01S2023000415951;KDV ( % 18 );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.347,67
Beksan;30.04.2023;01S2023000415951;ÖİV(%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺206,76
Beksan;30.04.2023;A162023001841985;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺335,00
Beksan;30.04.2023;A162023001727598;DSL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺510,75
Bekkiler;30.04.2023;01S2023000307068;MPLSVPN Hizmetleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.343,60
Bekkiler;30.04.2023;01S2023000307068;Data Servisleri (%18 KDV + %10 OIV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺750,00
Bekkiler;30.04.2023;01S2023000307068;Ofis Güvenlik Duvarı (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺225,00
Bekkiler;30.04.2023;01S2023000307068;UZAKTAN YEDEKLEME (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺800,00
Bekkiler;30.04.2023;01S2023000307068;Enterprise WiFi Servisi (AP) (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺300,00
Bekkiler;30.04.2023;01S2023000307068;Katma Değerli Servisler (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺178,50
Bekkiler;30.04.2023;01S2023000307068;SANAL VERİ MERKEZİ (%18 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺4.181,52
Bekkiler;30.04.2023;01S2023000307068;KDV (%18);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺1.400,15
Bekkiler;30.04.2023;01S2023000307068;Özel İletişim Vergisi (%10);İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;;;₺209,36
Bekkiler;30.04.2023;A162023001800755;DsL sabit internet;İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;;;₺290,00
Bekkiler;30.04.2023;XE52023043000857;Her yöne 1000 dakika - 10 TL/Ay-2662465109 (Nisan 2023);SABIT HAT;TURKNET;1,00;;;₺7,81
Bekkiler;30.04.2023;XE52023043000857;Her yöne 1000 dakika - 24,90 TL/Ay-2662463513 (Nisan 2023)(GSM:27% SA:13% SI:46% DO:14% );SABIT HAT;TURKNET;1,00;;;₺19,45
Bekkiler;30.04.2023;XE52023043000857;Her yöne 1000 dakika - 24,90 TL/Ay-2662461426 (Nisan 2023);SABIT HAT;TURKNET;1,00;;;₺19,45
